symbol,name,current,chg,percent,last_close,open,high,low,volume,amount,market_capital,pe_ttm,high52w,low52w,hasexist
SH600121,郑州煤电,3.48,-0.01,-0.29,3.49,3.43,3.64,3.43,26267126.0,91783532.0,3533394910.2,19.961,5.95,2.79,false
SH600122,宏图高科,4.3,0.07,1.65,4.23,4.26,4.42,4.2,71108782.0,306630703.0,4980510905.0,None,9.49,2.93,false
SH600123,兰花科创,7.62,-0.07,-0.91,7.69,7.63,7.82,7.51,35665993.0,273463582.0,8705088000.0,8.468,8.44,6.23,false
SH600125,铁龙物流,7.92,-0.12,-1.49,8.04,8.04,8.09,7.85,33184593.0,265288812.0,10339733242.08,22.42,9.76,6.88,false
SH600126,杭钢股份,5.01,-0.06,-1.18,5.07,5.07,5.15,4.98,14772300.0,74766995.0,16919717305.83,7.649,5.52,4.1,false
SH600127,金健米业,3.31,-0.04,-1.19,3.35,3.31,3.37,3.26,9424876.0,31323460.0,2124302451.58,None,4.66,2.59,false
SH600128,弘业股份,9.98,0.91,10.03,9.07,8.74,9.98,8.72,59909066.0,561602828.0,2462739650.0,None,14.3,4.7,false
SH600129,太极集团,10.34,-0.18,-1.71,10.52,10.5,10.62,10.31,6077888.0,63668772.0,5758250292.96,34.61,17.98,7.81,false
SH600130,波导股份,4.2,-0.03,-0.71,4.23,4.2,4.27,4.13,43403592.0,182525134.0,3225600000.0,None,7.17,2.61,false
SH600131,岷江水电,14.61,1.33,10.02,13.28,13.39,14.61,13.39,84752501.0,1213349504.0,7365268514.55,56.425,14.61,5.12,false
SH600132,重庆啤酒,33.81,0.29,0.87,33.52,33.0,34.87,32.88,3208854.0,109391352.0,16363066204.38,41.107,34.87,18.6,false
SH600133,东湖高新,7.14,0.48,7.21,6.66,6.66,7.21,6.65,52658591.0,365570875.0,5182065779.94,13.758,9.68,4.13,false
SH600135,乐凯胶片,8.19,-0.65,-7.35,8.84,8.51,8.57,7.96,42621586.0,353439984.0,3054802309.65,190.784,13.22,5.05,false
SH600136,当代明诚,8.9,-0.14,-1.55,9.04,9.0,9.17,8.8,8555481.0,76674472.0,4335921455.4,20.824,19.52,6.88,false
SH600137,浪莎股份,14.74,0.36,2.5,14.38,14.8,15.68,14.68,5414321.0,81362438.0,1432987247.12,59.472,24.91,10.8,false
SH600138,中青旅,15.06,0.14,0.94,14.92,14.98,15.35,14.82,19088115.0,287525546.0,10901030400.0,17.665,24.38,12.32,false
SH600139,西部资源,3.97,0.0,0.0,3.97,3.93,4.12,3.9,25496973.0,101725999.0,2627705316.76,None,6.56,2.86,false
SH600141,兴发集团,10.97,-0.2,-1.79,11.17,11.13,11.24,10.92,21100418.0,234507985.0,7977173683.16,16.919,15.63,9.65,false
SH600143,金发科技,5.24,-0.02,-0.38,5.26,5.26,5.35,5.18,21239711.0,112175823.0,14235952273.4,19.124,6.44,3.5,false
SH600146,商赢环球,7.23,-0.36,-4.74,7.59,7.35,7.58,7.08,36685639.0,268380626.0,3397883100.0,36.044,29.48,4.9,false
SH600148,长春一东,16.59,0.28,1.72,16.31,16.11,17.5,16.11,6275439.0,105177684.0,2347757905.5,99.207,21.68,13.25,false
SH600149,ST坊展,5.89,0.25,4.43,5.64,5.63,5.92,5.6,9337919.0,54545618.0,2239142400.0,154.065,9.74,4.16,false
SH600150,*ST船舶,14.79,0.39,2.71,14.4,14.5,15.08,14.43,19116434.0,282818801.0,20382359274.42,None,22.2,9.1,false
SH600151,航天机电,5.34,0.12,2.3,5.22,5.18,5.66,5.12,88963515.0,480808375.0,7658907212.58,None,6.49,3.51,false
SH600152,维科技术,6.9,-0.11,-1.57,7.01,6.95,7.1,6.83,11180678.0,77963554.0,3042428316.0,40.845,7.44,4.77,false
