"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年3月14日","3,100.00","3,100.00","3,100.00","3,100.00","-","0.00%"
"2019年3月13日","3,100.00","3,100.00","3,100.00","3,100.00","0.01K","0.16%"
"2019年3月12日","3,095.00","3,095.00","3,095.00","3,095.00","0.00K","0.00%"
"2019年3月11日","3,095.00","3,101.00","3,103.00","3,080.00","0.03K","5.70%"
"2019年3月8日","2,928.00","2,931.00","2,931.00","2,921.00","0.01K","-0.98%"
"2019年3月7日","2,957.00","3,040.00","3,040.00","2,930.00","0.01K","-0.37%"
"2019年3月6日","2,968.00","2,942.00","3,080.00","2,940.00","0.04K","-3.13%"
"2019年3月5日","3,064.00","3,060.00","3,096.00","2,935.00","0.03K","-1.57%"
"2019年3月4日","3,113.00","3,124.00","3,127.00","3,080.00","0.05K","0.78%"
"2019年3月1日","3,089.00","3,100.00","3,124.00","3,069.00","0.05K","-0.26%"
"2019年2月28日","3,097.00","3,118.00","3,142.00","3,038.00","1.01K","0.68%"
"2019年2月27日","3,076.00","3,060.00","3,090.00","3,045.00","0.72K","0.07%"
"2019年2月26日","3,074.00","3,110.00","3,119.00","3,032.00","0.77K","-1.41%"
"2019年2月25日","3,118.00","2,909.00","2,909.00","2,909.00","0.01K","0.91%"
"2019年2月22日","3,090.00","3,090.00","3,090.00","3,090.00","0.02K","-0.32%"
"2019年2月21日","3,100.00","3,100.00","3,100.00","3,100.00","-","0.00%"
"2019年2月20日","3,100.00","3,100.00","3,100.00","3,100.00","0.01K","-0.67%"
"2019年2月19日","3,121.00","3,105.00","3,131.00","3,105.00","0.03K","0.48%"
"2019年2月18日","3,106.00","3,130.00","3,130.00","3,042.00","0.02K","-1.27%"
"2019年2月15日","3,146.00","3,150.00","3,150.00","3,105.00","0.03K","0.70%"
"2019年2月14日","3,124.00","3,130.00","3,130.00","3,101.00","0.12K","0.03%"
"2019年2月13日","3,123.00","3,135.00","3,149.00","3,100.00","0.04K","-1.17%"
